    PID     TID    PPID STAT     TIME COMMAND
   2904    2904    2776 S<Ll 00:00:18 mgs2_sse_rg353v
   2904    3527    2776 SLl  00:00:01 mgs2_sse_rg353v
   2904    3528    2776 S<Ll 00:00:00 mgs2_sse_rg353v
   2904    3529    2776 SLl  00:00:39 mgs2_sse_rg353v
   2904    3538    2776 S<Ll 00:00:00 mali-mem-purge
   2904    3539    2776 S<Ll 00:00:00 mali-utility-wo
   2904    3540    2776 S<Ll 00:00:00 mali-utility-wo
   2904    3541    2776 S<Ll 00:00:00 mali-utility-wo
   2904    3542    2776 S<Ll 00:00:00 mali-utility-wo
   2904    3543    2776 S<Ll 00:00:07 mali-cmar-backe
   2904    3549    2776 S<Ll 00:00:00 mali-compiler
   2904    3550    2776 RLl  00:02:41 wined3d_cs
   2904    3561    2776 S<Ll 00:00:00 alsa-pipewire
   2904    3562    2776 S<Ll 00:00:06 data-loop.0
   2904    3563    2776 S<Ll 00:00:02 audio_client_ti
   2904    3564    2776 S<Ll 00:00:33 wine_dsound_mix
   2904    3565    2776 SLl  00:00:00 mmdevapi_midi_n
   2904    3571    2776 SLl  00:00:00 wine_dmime_mess
   2904    3572    2776 SLl  00:00:00 wine_dmsynth_si
   2904    3573    2776 SLl  00:00:09 wine_dmsynth_si
   2904    3574    2776 S<Ll 00:00:07 mgs2_sse_rg353v
   2904    3575    2776 S<Ll 00:00:03 mgs2_sse_rg353v
   2904    3576    2776 S<Ll 00:00:01 mgs2_sse_rg353v
   2904    3577    2776 RLl  00:03:38 mgs2_sse_rg353v
   2904    3578    2776 SLl  00:00:00 wine_dinput_wor
