2026-08-10T18:39:44Z
    PID     TID STAT %CPU WCHAN                    COMMAND
  22710   22710 S<Ll  2.0 ntsync_schedule.isra.0   mgs2_sse_rg353v
  22710   23438 SLl   0.1 do_sys_poll              mgs2_sse_rg353v
  22710   23444 S<Ll  0.0 ntsync_schedule.isra.0   mgs2_sse_rg353v
  22710   23449 SLl   4.9 ntsync_schedule.isra.0   mgs2_sse_rg353v
  22710   23451 S<Ll  0.0 futex_wait               mali-mem-purge
  22710   23452 S<Ll  0.0 futex_wait               mali-utility-wo
  22710   23453 S<Ll  0.0 futex_wait               mali-utility-wo
  22710   23454 S<Ll  0.0 futex_wait               mali-utility-wo
  22710   23455 S<Ll  0.0 futex_wait               mali-utility-wo
  22710   23456 S<Ll  1.4 do_sys_poll              mali-cmar-backe
  22710   23457 S<Ll  0.0 futex_wait               mali-compiler
  22710   23458 SLl  19.7 futex_wait               wined3d_cs
  22710   23470 S<Ll  0.0 do_epoll_wait            alsa-pipewire
  22710   23471 S<Ll  1.0 do_epoll_wait            data-loop.0
  22710   23472 S<Ll  0.4 do_select                audio_client_ti
  22710   23473 S<Ll  5.3 ntsync_schedule.isra.0   wine_dsound_mix
  22710   23474 SLl   0.0 futex_wait               mmdevapi_midi_n
  22710   23475 SLl   0.1 futex_wait               wine_dmime_mess
  22710   23476 SLl   0.0 ntsync_schedule.isra.0   wine_dmsynth_si
  22710   23477 SLl   0.7 ntsync_schedule.isra.0   wine_dmsynth_si
  22710   23478 S<Ll  1.3 ntsync_schedule.isra.0   mgs2_sse_rg353v
  22710   23479 S<Ll  0.5 futex_wait               mgs2_sse_rg353v
  22710   23480 S<Ll  0.2 ntsync_schedule.isra.0   mgs2_sse_rg353v
  22710   23481 RLl  28.8 -                        mgs2_sse_rg353v
  22710   23482 SLl   0.1 ntsync_schedule.isra.0   wine_dinput_wor
/dev/mmcblk0p2 /usr/lib/wine/i386-windows/dmime.dll ext4 rw,noatime 0 0
ce3e3f14a62a190966183802c871a5a26a7a3a828c7f23b4d6f0ab9f90ace877  /usr/lib/wine/i386-windows/dmime.dll
