    TID STAT %CPU WCHAN                    COMMAND
  22710 R<Ll  2.0 anon_pipe_read           mgs2_sse_rg353v
  23438 SLl   0.1 do_sys_poll              mgs2_sse_rg353v
  23444 S<Ll  0.0 ntsync_schedule.isra.0   mgs2_sse_rg353v
  23449 RLl   4.6 -                        mgs2_sse_rg353v
  23451 S<Ll  0.0 futex_wait               mali-mem-purge
  23452 S<Ll  0.0 futex_wait               mali-utility-wo
  23453 S<Ll  0.0 futex_wait               mali-utility-wo
  23454 S<Ll  0.0 futex_wait               mali-utility-wo
  23455 S<Ll  0.0 futex_wait               mali-utility-wo
  23456 S<Ll  1.3 do_sys_poll              mali-cmar-backe
  23457 S<Ll  0.0 futex_wait               mali-compiler
  23458 RLl  18.6 -                        wined3d_cs
  23470 S<Ll  0.0 do_epoll_wait            alsa-pipewire
  23471 S<Ll  1.0 do_epoll_wait            data-loop.0
  23472 S<Ll  0.4 do_select                audio_client_ti
  23473 S<Ll  5.1 ntsync_schedule.isra.0   wine_dsound_mix
  23474 SLl   0.0 futex_wait               mmdevapi_midi_n
  23475 SLl   0.1 futex_wait               wine_dmime_mess
  23476 SLl   0.0 ntsync_schedule.isra.0   wine_dmsynth_si
  23477 SLl   0.7 ntsync_schedule.isra.0   wine_dmsynth_si
  23478 S<Ll  1.2 ntsync_schedule.isra.0   mgs2_sse_rg353v
  23479 R<Ll  0.4 -                        mgs2_sse_rg353v
  23480 S<Ll  0.2 ntsync_schedule.isra.0   mgs2_sse_rg353v
  23481 RLl  27.5 -                        mgs2_sse_rg353v
  23482 SLl   0.1 ntsync_schedule.isra.0   wine_dinput_wor
