t rss_kb memavail_kb temp freq alive
0 53256 505020 76875 1992000 1
2 53256 501088 74444 1992000 1
4 65492 486672 74444 1992000 1
6 99140 450388 75625 1992000 1
8 189528 419384 76875 1992000 1
10 189528 416992 75625 1992000 1
12 201140 407796 75000 1992000 1
14 223340 387388 75625 1992000 1
16 267692 361332 74444 1992000 1
18 294488 340196 75625 1992000 1
20 294672 344544 75625 1992000 1
22 294892 339448 76250 1992000 1
24 295072 342312 76875 1992000 1
26 296272 337216 75625 1992000 1
28 313824 334892 76875 1992000 1
30 314636 330688 77500 1992000 1
32 316220 329164 78125 1992000 1
34 316808 324576 77500 1992000 1
36 328940 322928 78125 1992000 1
38 338664 322936 76875 1992000 1
40 338664 324240 76250 1992000 1
42 343140 318720 77500 1992000 1
44 343140 315544 78125 1992000 1
46 343156 324492 77500 1992000 1
48 343160 319140 77500 1992000 1
50 295004 361228 76875 1992000 1
52 314868 339904 76250 1992000 1
54 360396 301548 76250 1992000 1
56 377916 294132 77500 1992000 1
58 386160 289648 78125 1992000 1
60 386024 292232 78125 1992000 1
62 385836 283000 78750 1992000 1
64 385840 294404 78750 1992000 1
66 385740 290592 78750 1992000 1
68 389276 287884 78750 1992000 1
70 391088 280700 79375 1992000 1
72 394096 278284 78750 1992000 1
74 395352 274860 78750 1992000 1
76 398712 277200 79375 1992000 1
78 399440 275340 79375 1992000 1
80 399556 273148 79375 1992000 1
82 415372 269836 79375 1992000 1
84 416948 266352 78750 1992000 1
86 418128 264880 78750 1992000 1
88 417468 263608 76875 1992000 1
90 417472 263288 75625 1992000 1
92 417472 261328 75000 1992000 1
94 417472 261000 73888 1992000 1
96 411552 260096 73888 1992000 1
98 411552 260096 73888 1992000 1
100 411492 263936 73333 1992000 1
102 411392 259880 75000 1992000 1
104 411392 256492 73333 1992000 1
106 411392 256504 72777 1992000 1
108 411392 256504 72777 1992000 1
110 405500 256264 72222 1992000 1
112 405500 256264 72222 1992000 1
114 405500 256064 71666 1992000 1
116 405500 255520 71666 1992000 1
118 405500 255044 71666 1992000 1
120 405500 255044 71666 1992000 1
122 405500 254620 71111 1992000 1
124 405500 254396 71111 1992000 1
126 401776 254396 71111 1992000 1
128 401776 253904 70555 1992000 1
130 401776 253904 70555 1992000 1
132 401776 253652 70555 1992000 1
134 401776 252908 70555 1992000 1
136 401776 252404 70000 1992000 1
138 401776 252404 70000 1992000 1
140 399272 252276 70000 1992000 1
142 399272 254260 70000 1992000 1
144 399272 254260 70000 1992000 1
146 399272 254020 69375 1992000 1
148 399272 254020 69375 1992000 1
150 399272 254020 69375 1992000 1
152 399272 253796 69375 1992000 1
154 397416 253796 69375 1992000 1
156 397416 253556 69375 1992000 1
158 397416 253556 69375 1992000 1
160 397416 253556 68750 1992000 1
162 397372 254980 68750 1992000 1
164 397372 254980 69375 1992000 1
166 397372 254756 68750 1992000 1
168 397372 254516 68750 1992000 1
170 396048 254276 68750 1992000 1
172 396048 254276 68750 1992000 1
174 396048 254076 68750 1992000 1
176 396048 253548 68750 1992000 1
178 396048 253332 68125 1992000 1
180 396048 253028 68125 1992000 1
182 396048 249236 68125 1992000 1
184 394924 248772 68125 1992000 1
186 394924 248772 68125 1992000 1
188 394924 248772 68125 1992000 1
190 394924 248016 68125 1992000 1
192 394924 247792 67500 1992000 1
194 394924 247792 67500 1992000 1
196 394924 247552 67500 1992000 1
198 394160 247552 67500 1992000 1
200 394160 247860 67500 1992000 1
202 394160 250640 66875 1992000 1
204 394160 250364 67500 1992000 1
206 394160 250124 67500 1992000 1
208 394160 249884 67500 1992000 1
210 394160 249884 67500 1992000 1
212 394160 249684 67500 1992000 1
214 393628 249632 66875 1992000 1
216 393628 250584 66875 1992000 1
218 393628 250148 67500 1992000 1
220 393628 250148 66875 1992000 1
222 393628 251696 66875 1992000 1
224 393628 251760 66875 1992000 1
226 393628 251912 66875 1992000 1
228 393152 257992 68125 1992000 1
230 393088 245740 68125 1992000 1
232 393088 245728 67500 1992000 1
234 393088 246844 67500 1992000 1
236 393088 249684 66875 1992000 1
238 393088 249728 68125 1992000 1
240 393088 250564 66875 1992000 1
242 392796 249808 66875 1992000 1
244 392796 250156 66875 1992000 1
246 392796 249660 66875 1992000 1
248 392796 249648 66875 1992000 1
250 392796 249396 66875 1992000 1
252 392796 249508 66250 1992000 1
254 392796 249532 66250 1992000 1
256 392796 249288 66875 1992000 1
258 392576 249292 66250 1992000 1
260 392576 249068 66250 1992000 1
262 392576 251344 66250 1992000 1
264 392576 251344 66250 1992000 1
266 392576 250848 66250 1992000 1
268 392576 250360 66250 1992000 1
270 392576 250360 66250 1992000 1
272 392428 250108 66250 1992000 1
274 392428 249884 66250 1992000 1
276 392428 246716 66250 1992000 1
278 392428 247184 66250 1992000 1
280 392428 248144 66250 1992000 1
282 392428 248392 66250 1992000 1
284 392428 248340 66250 1992000 1
286 392316 240036 66250 1992000 1
288 392316 239816 65625 1992000 1
290 392316 239576 66250 1992000 1
292 392316 249008 67500 1992000 1
294 392316 249924 66250 1992000 1
296 392316 250176 66250 1992000 1
298 392316 249952 66250 1992000 1
300 392316 249712 65625 1992000 1
302 392316 251972 66875 1992000 1
