t rss_kb memavail_kb temp freq alive
0 53348 597188 61666 1992000 1
2 53460 585064 59444 1992000 1
4 89744 552000 58888 1992000 1
6 148196 530216 60000 1992000 1
8 191896 488800 60555 1992000 1
10 192432 488216 59444 1992000 1
12 201452 479916 60000 1992000 1
14 242972 438592 60000 1992000 1
16 273608 407604 60555 1992000 1
18 288876 380380 61111 1992000 1
20 289056 380960 61111 1992000 1
22 289828 377788 62222 1992000 1
24 290008 377224 62222 1992000 1
26 308008 350676 62222 1992000 1
28 308468 365016 63333 1992000 1
30 309544 357568 63888 1992000 1
32 311216 353136 64444 1992000 1
34 320372 346744 63888 1992000 1
36 333928 333536 64444 1992000 1
38 337616 331324 63888 1992000 1
40 337212 328252 64444 1992000 1
42 338320 332240 65000 1992000 1
44 285908 386840 63888 1992000 1
46 307692 361848 63333 1992000 1
48 350024 325800 63333 1992000 1
50 373048 306900 64444 1992000 1
52 381580 299104 64444 1992000 1
54 382972 295048 65000 1992000 1
56 386440 293080 65000 1992000 1
58 389836 284756 65625 1992000 1
60 390792 284716 66875 1992000 1
62 392588 277912 66250 1992000 1
64 393480 277036 66250 1992000 1
66 395204 286388 66875 1992000 1
68 397792 276488 66250 1992000 1
70 398892 273468 67500 1992000 1
72 403080 272716 66250 1992000 1
74 403212 271008 67500 1992000 1
76 402620 274832 66875 1992000 1
78 407920 267840 66875 1992000 1
80 410232 267532 66875 1992000 1
82 411640 254424 67500 1992000 1
84 412244 255812 67500 1992000 1
86 416424 264160 67500 1992000 1
88 418148 260608 68125 1992000 1
90 426792 250628 68125 1992000 1
92 427008 247012 68125 1992000 1
94 426680 250308 67500 1992000 1
96 427392 243236 68750 1992000 1
98 427480 241000 68125 1992000 1
100 427100 241732 68125 1992000 1
102 427740 218496 68125 1992000 1
104 424052 230236 68750 1992000 1
106 418820 226160 68750 1992000 1
108 418924 240564 68750 1992000 1
110 419532 242468 68750 1992000 1
112 419044 241516 68750 1992000 1
114 419044 239504 68750 1992000 1
116 419044 241948 68750 1992000 1
118 420080 240192 68750 1992000 1
120 415552 238324 68750 1992000 1
122 415932 243392 68750 1992000 1
124 416056 241224 69375 1992000 1
126 416208 240228 70000 1992000 1
128 416544 242496 69375 1992000 1
130 417420 240192 69375 1992000 1
132 417864 238528 70000 1992000 1
134 421496 250140 69375 1992000 1
136 421116 242748 70000 1992000 1
138 422744 241832 70000 1992000 1
140 425484 238936 70000 1992000 1
142 428596 234616 70555 1992000 1
144 432800 232656 70000 1992000 1
146 435968 240216 69375 1992000 1
148 436696 234100 70555 1992000 1
150 436188 212800 70000 1992000 1
152 438900 225180 70000 1992000 1
154 439416 225248 70555 1992000 1
156 438900 226412 70555 1992000 1
158 439296 228936 70000 1992000 1
160 438900 227036 70000 1992000 1
162 438900 231732 70000 1992000 1
164 436996 227668 70555 1992000 1
166 436996 224620 70555 1992000 1
168 436480 192208 70555 1992000 1
170 436800 235296 70555 1992000 1
172 436284 227440 70555 1992000 1
174 435844 229244 71111 1992000 1
176 435328 227876 70555 1992000 1
178 433100 228128 70555 1992000 1
180 433100 227372 71111 1992000 1
182 433100 210752 71111 1992000 1
184 433616 212708 71111 1992000 1
186 433616 223864 71111 1992000 1
188 433100 205880 71111 1992000 1
190 433100 192996 71111 1992000 1
192 432836 196140 71111 1992000 1
194 433352 232640 71111 1992000 1
196 433352 227812 71111 1992000 1
198 433352 224452 71666 1992000 1
200 432836 223304 71666 1992000 1
202 433352 222940 71666 1992000 1
204 432836 231372 71666 1992000 1
206 432836 231124 71666 1992000 1
208 432836 230712 71111 1992000 1
210 433352 226404 71666 1992000 1
212 432836 224772 71111 1992000 1
214 433352 227080 71666 1992000 1
216 433352 223604 71666 1992000 1
218 432836 222332 71666 1992000 1
220 432836 220604 71111 1992000 1
222 433352 222668 72222 1992000 1
224 432836 227740 71666 1992000 1
226 432836 228128 72222 1992000 1
228 432836 225452 72222 1992000 1
230 433352 226280 72222 1992000 1
232 432836 226220 72222 1992000 1
234 432836 227320 71666 1992000 1
236 432836 225284 71666 1992000 1
238 432836 226020 72222 1992000 1
240 432836 223092 72222 1992000 1
242 432836 226496 72222 1992000 1
244 432836 225676 72222 1992000 1
246 432836 224128 72222 1992000 1
248 432836 225092 72222 1992000 1
250 432836 224944 72222 1992000 1
252 433352 223300 72222 1992000 1
254 433352 222184 72777 1992000 1
