# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 20K of event 'cycles:u'
# Event count (approx.): 65150674632
#
# Overhead  Command          Symbol                                                                                                   Shared Object                      IPC   [IPC Coverage]
# ........  ...............  .......................................................................................................  .................................  ....................
#
     2.96%  wine_dsound_mix  [.] mgs2_native_dsound_fir_kernel                                                                        box86                              -      -            
     1.00%  mgs2_sse_rg353v  [.] DynaRun                                                                                              box86                              -      -            
     0.96%  wined3d_cs       [.] memcpy                                                                                               libc.so.6                          -      -            
     0.81%  mgs2_sse_rg353v  [.] fpu_fxsave                                                                                           box86                              -      -            
     0.79%  mgs2_sse_rg353v  [.] memcpy                                                                                               libc.so.6                          -      -            
     0.64%  mgs2_sse_rg353v  [.] Run                                                                                                  box86                              -      -            
     0.59%  wined3d_cs       [.] 0x00000000011f514e                                                                                   libmali.so.1.10.0                  -      -            
     0.57%  wined3d_cs       [.] __libc_calloc                                                                                        libc.so.6                          -      -            
     0.53%  mgs2_sse_rg353v  [k] 0xffffffdafe9f0554                                                                                   [unknown]                          -      -            
     0.53%  mgs2_sse_rg353v  [.] mgs2_native_aabb_impl                                                                                box86                              -      -            
     0.43%  mgs2_sse_rg353v  [.] hasAlternate                                                                                         box86                              -      -            
     0.39%  mgs2_sse_rg353v  [.] UpdateFlags                                                                                          box86                              -      -            
     0.36%  mgs2_sse_rg353v  [.] Run0F                                                                                                box86                              -      -            
     0.35%  wined3d_cs       [.] 0x000000000132485c                                                                                   libmali.so.1.10.0                  -      -            
     0.34%  mgs2_sse_rg353v  [.] Run64                                                                                                box86                              -      -            
     0.30%  data-loop.0      [.] 0x000000000003e080                                                                                   libspa-audioconvert.so             -      -            
     0.29%  mgs2_sse_rg353v  [.] DBGetBlock                                                                                           box86                              -      -            
     0.27%  mgs2_sse_rg353v  [.] sinf32x                                                                                              libm.so.6                          -      -            
     0.26%  mali-cmar-backe  [.] cfree                                                                                                libc.so.6                          -      -            
     0.26%  mgs2_sse_rg353v  [.] internalDBGetBlock.isra.0                                                                            box86                              -      -            
     0.25%  wine_dsound_mix  [.] __udivmoddi4                                                                                         box86                              -      -            
     0.25%  mgs2_sse_rg353v  [.] __atan2_finite                                                                                       libm.so.6                          -      -            
     0.25%  wined3d_cs       [.] pthread_mutex_lock                                                                                   libc.so.6                          -      -            
     0.24%  data-loop.0      [.] 0x000000000003e0a0                                                                                   libspa-audioconvert.so             -      -            
     0.24%  wined3d_cs       [.] strncmp                                                                                              libc.so.6                          -      -            
