t,cpu_cur_khz,cpu_max_khz,cpu_temp_mc,gpu_temp_mc,gpu_cur_hz,gpu_target_hz,fps,readback_ms,wined3d_cs:32609,mgs2_sse_rg353v:32641,mgs2_sse_rg353v:32591,wine_dsound_mix:32625,mgs2_sse_rg353v:31918,wine_dmsynth_si:32629,mali-cmar-backe:32599,mgs2_sse_rg353v:32638
1.0,1608000,1608000,82222,77500,800000000,800000000,17.8,14.09,0.6599,0.5999,0.2,0.09,0.06,0.21,0.02,0.07
2.008,1608000,1608000,82222,76875,800000000,800000000,10.2,26.49,0.6151,0.873,0.1686,0.1091,0.0694,0.2183,0.0397,0.0595
3.021,1608000,1608000,82777,77500,400000000,400000000,10.2,26.49,0.6517,0.6616,0.2074,0.0987,0.0592,0.2962,0.0296,0.0691
4.039,1800000,1800000,82777,77500,800000000,800000000,10.2,26.49,0.6876,0.5894,0.2259,0.0884,0.0589,0.2358,0.0295,0.0589
5.05,1800000,1800000,82222,77500,300000000,300000000,10.2,26.49,0.712,0.6329,0.2077,0.0989,0.0593,0.2472,0.0396,0.0593
6.06,1608000,1608000,82222,77500,400000000,400000000,13.8,17.36,0.6435,0.594,0.198,0.0891,0.0594,0.2376,0.0297,0.0594
7.067,1800000,1800000,82222,77500,300000000,300000000,13.8,17.36,0.6553,0.5262,0.1886,0.0794,0.0596,0.1886,0.0298,0.0496
8.074,1800000,1800000,82222,76875,300000000,300000000,13.8,17.36,0.6752,0.6455,0.1986,0.0894,0.0596,0.2185,0.0298,0.0695
9.087,1608000,1608000,82777,77500,800000000,800000000,13.8,17.36,0.6717,0.6125,0.2272,0.0988,0.0691,0.2272,0.0296,0.0593
10.095,1800000,1800000,82777,76875,300000000,300000000,13.8,17.36,0.6846,0.6052,0.2282,0.0893,0.0496,0.258,0.0298,0.0695
11.107,1800000,1800000,82777,76875,800000000,800000000,12.4,22.2,0.6718,0.573,0.2075,0.0889,0.0593,0.326,0.0198,0.0593
12.117,1800000,1800000,82777,77500,800000000,800000000,12.4,22.2,0.7026,0.6828,0.2177,0.0792,0.0594,0.3068,0.0396,0.0594
13.13,1800000,1800000,82777,76875,300000000,300000000,12.4,22.2,0.6817,0.6817,0.2173,0.0889,0.0494,0.2667,0.0296,0.0692
14.141,1608000,1608000,82777,77500,800000000,800000000,12.4,22.2,0.6826,0.643,0.2077,0.089,0.0594,0.2473,0.0396,0.0594
15.15,1800000,1800000,82777,77500,300000000,300000000,13.1,19.69,0.6635,0.6338,0.2278,0.0891,0.0693,0.2278,0.0297,0.0495
16.157,1800000,1800000,82777,76875,800000000,800000000,13.1,19.69,0.6653,0.5263,0.2284,0.0894,0.0497,0.2185,0.0298,0.0596
17.169,1800000,1800000,82777,76875,300000000,300000000,13.1,19.69,0.662,0.5632,0.1877,0.0889,0.0692,0.247,0.0296,0.0692
18.178,1608000,1608000,82222,76875,300000000,300000000,13.1,19.69,0.6646,0.6249,0.2083,0.0893,0.0496,0.1984,0.0298,0.0595
19.188,1800000,1800000,82222,77500,300000000,300000000,13.1,19.69,0.6832,0.604,0.198,0.0891,0.0693,0.2574,0.0396,0.0495
20.203,1608000,1608000,81666,77500,200000000,200000000,11.9,22.61,0.6796,0.6501,0.2068,0.0886,0.0492,0.2265,0.0295,0.0689
21.22,1608000,1608000,82777,76875,300000000,300000000,11.9,22.61,0.6388,0.629,0.1966,0.0885,0.059,0.2359,0.0295,0.059
22.227,1608000,1608000,82222,77500,800000000,800000000,11.9,22.61,0.6454,0.6553,0.2085,0.0993,0.0596,0.2284,0.0298,0.0496
23.235,1608000,1608000,82222,76875,800000000,800000000,11.9,22.61,0.6651,0.685,0.2085,0.0893,0.0596,0.2184,0.0397,0.0596
24.245,1608000,1608000,81666,76875,200000000,200000000,11.9,22.61,0.6533,0.6137,0.198,0.0891,0.0594,0.2277,0.0198,0.0594
25.254,1416000,1416000,81666,76875,800000000,800000000,12.6,23.94,0.6639,0.6342,0.2081,0.0991,0.0595,0.218,0.0396,0.0595
26.274,1416000,1416000,81111,76875,300000000,300000000,12.6,23.94,0.6763,0.6077,0.2058,0.1078,0.0686,0.0784,0.0294,0.049
27.285,1608000,1608000,81111,76875,400000000,400000000,12.6,23.94,0.6828,0.6432,0.2177,0.1088,0.0594,0.0099,0.0396,0.0495
28.299,1608000,1608000,81111,76875,300000000,300000000,12.6,23.94,0.7196,0.6013,0.2169,0.0887,0.0591,0.0197,0.0493,0.0296
29.306,1416000,1416000,81111,77500,800000000,800000000,12.6,23.94,0.7251,0.596,0.2185,0.1093,0.0795,0.0199,0.0397,0.0397
30.325,1608000,1608000,81666,76875,300000000,300000000,13.5,18.96,0.7362,0.6381,0.216,0.108,0.0589,0.0785,0.0294,0.0589
31.334,1416000,1416000,81666,76875,600000000,600000000,13.5,18.96,0.7039,0.6345,0.2181,0.109,0.0694,0.0694,0.0397,0.0397
32.348,1992000,1992000,82222,77500,400000000,400000000,13.5,18.96,0.6902,0.6114,0.2169,0.0986,0.0592,0.0296,0.0394,0.0394
33.362,1800000,1800000,82777,77500,600000000,600000000,13.5,18.96,0.6309,0.5717,0.1873,0.0887,0.0591,0.0197,0.0296,0.0394
34.371,1800000,1800000,81666,77500,300000000,300000000,13.6,17.58,0.7233,0.6837,0.218,0.0892,0.0396,0.0297,0.0396,0.0297
35.38,1800000,1800000,82222,77500,800000000,800000000,13.6,17.58,0.7138,0.6345,0.228,0.0694,0.0595,0.0099,0.0496,0.0297
36.389,1800000,1800000,82222,76250,200000000,200000000,13.6,17.58,0.4859,0.704,0.1487,0.0694,0.0595,0.0198,0.0198,0.0297
37.397,1608000,1608000,81666,76875,800000000,800000000,13.6,17.58,0.4758,0.8922,0.2181,0.0892,0.0694,0.1388,0.0496,0.0496
38.423,1608000,1608000,82222,76875,400000000,400000000,16.3,10.46,0.6727,0.5752,0.2437,0.0877,0.0585,0.2145,0.039,0.0585
39.441,1800000,1800000,82222,76875,300000000,300000000,16.3,10.46,0.7171,0.6386,0.2358,0.0982,0.0688,0.2161,0.0491,0.0589
40.458,1608000,1608000,82222,76875,400000000,400000000,16.3,10.46,0.6886,0.6492,0.2262,0.0885,0.0689,0.2558,0.0393,0.0492
41.475,1608000,1608000,82222,77500,600000000,600000000,18.3,13.4,0.6884,0.6589,0.2065,0.0885,0.0492,0.2262,0.0492,0.0688
42.491,1608000,1608000,82777,76875,800000000,800000000,18.3,13.4,0.6786,0.5705,0.2164,0.0885,0.0787,0.2459,0.0492,0.059
43.508,1608000,1608000,82777,76875,400000000,400000000,18.3,13.4,0.7476,0.6788,0.2459,0.0885,0.0492,0.2459,0.0393,0.0492
