# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 9K of event 'cycles:u'
# Event count (approx.): 29967404716
#
# Overhead  Symbol                               Shared Object                     IPC   [IPC Coverage]
# ........  ...................................  ................................  ....................
#
     2.84%  [.] mgs2_native_dsound_fir_kernel    box86                             -      -            
     2.33%  [.] memcpy                           libc.so.6                         -      -            
     2.15%  [.] DynaRun                          box86                             -      -            
     1.52%  [.] fpu_fxsave                       box86                             -      -            
     1.47%  [.] Run                              box86                             -      -            
     1.33%  [k] 0xffffffdafe9f0554               [unknown]                         -      -            
     0.87%  [.] Run0F                            box86                             -      -            
     0.80%  [.] UpdateFlags                      box86                             -      -            
     0.79%  [.] mgs2_native_aabb_impl            box86                             -      -            
     0.78%  [.] DBGetBlock                       box86                             -      -            
     0.78%  [.] __libc_calloc                    libc.so.6                         -      -            
     0.72%  [.] internalDBGetBlock.isra.0        box86                             -      -            
     0.67%  [.] hasAlternate                     box86                             -      -            
     0.67%  [.] 0x00000000011f514e               libmali.so.1.10.0                 -      -            
     0.67%  [.] Run64                            box86                             -      -            
     0.50%  [.] cfree                            libc.so.6                         -      -            
     0.49%  [.] memset                           libc.so.6                         -      -            
     0.45%  [.] 0x000000000132485c               libmali.so.1.10.0                 -      -            
     0.44%  [.] pthread_mutex_lock               libc.so.6                         -      -            
     0.41%  [.] __udivmoddi4                     box86                             -      -            
     0.35%  [.] 0x000000000003e080               libspa-audioconvert.so            -      -            
     0.34%  [.] test32                           box86                             -      -            
     0.33%  [k] 0xffffffdafe9f3268               [unknown]                         -      -            
     0.31%  [.] arm_epilog                       box86                             -      -            
     0.28%  [.] 0x000000006e4752cc               [JIT] tid 45815                   -      -            
     0.28%  [.] 0x00000000f754adf4               [JIT] tid 45815                   -      -            
     0.28%  [.] 0x000000000003e0a0               libspa-audioconvert.so            -      -            
     0.27%  [.] __aeabi_d2ulz                    box86                             -      -            
     0.27%  [.] isInHotPage                      box86                             -      -            
     0.26%  [.] __clock_gettime64                libc.so.6                         -      -            
     0.25%  [.] arm_prolog                       box86                             -      -            
     0.25%  [.] my_clock_gettime                 box86                             -      -            
     0.24%  [.] pthread_mutex_unlock             libc.so.6                         -      -            
     0.24%  [.] getDB                            box86                             -      -            
     0.23%  [.] strncmp                          libc.so.6                         -      -            
     0.20%  [.] 0x000000006e4908f0               [JIT] tid 45815                   -      -            
     0.20%  [.] getNeedTest                      box86                             -      -            
     0.19%  [.] 0x000000000009c5cc               libc.so.6                         -      -            
     0.19%  [.] 0x000000006fcd51a8               [JIT] tid 45815                   -      -            
     0.19%  [.] 0x000000006e485964               [JIT] tid 45815                   -      -            
     0.19%  [.] 0x00000000011fd3c0               libmali.so.1.10.0                 -      -            
     0.19%  [.] 0x000000006e490908               [JIT] tid 45815                   -      -            
     0.19%  [.] 0x000000000148faf0               libmali.so.1.10.0                 -      -            
     0.18%  [.] 0x00000000f73f8264               [JIT] tid 45815                   -      -            
     0.16%  [.] iFiLN                            box86                             -      -            
     0.16%  [.] 0x000000000009c5c8               libc.so.6                         -      -            
     0.16%  [.] 0x00000000f73f82dc               [JIT] tid 45815                   -      -            
     0.16%  [.] strlen                           libc.so.6                         -      -            
     0.15%  [.] 0x000000000003e094               libspa-audioconvert.so            -      -            
     0.15%  [.] GetSegmentBaseEmu                box86                             -      -            
     0.14%  [.] 0x000000000009b9a0               libc.so.6                         -      -            
     0.14%  [.] 0x000000007eeda4cc               [JIT] tid 45815                   -      -            
     0.14%  [.] 0x00000000744d515c               [JIT] tid 45815                   -      -            
     0.14%  [.] 0x000000000003e088               libspa-audioconvert.so            -      -            
     0.14%  [.] 0x0000000001324854               libmali.so.1.10.0                 -      -            
     0.14%  [.] 0x0000000072a024dc               [JIT] tid 45815                   -      -            
     0.13%  [.] 0x00000000f754adc8               [JIT] tid 45815                   -      -            
     0.13%  [.] 0x000000000122521e               libmali.so.1.10.0                 -      -            
     0.13%  [.] 0x000000006fb49a64               [JIT] tid 45815                   -      -            
     0.12%  [.] 0x00000000f73f8714               [JIT] tid 45815                   -      -            
     0.12%  [.] 0x00000000729a20a0               [JIT] tid 45815                   -      -            
     0.12%  [.] 0x0000000072a1d664               [JIT] tid 45815                   -      -            
     0.12%  [.] glBindBuffer                     libmali.so.1.10.0                 -      -            
     0.12%  [.] 0x000000006e4742f8               [JIT] tid 45815                   -      -            
     0.12%  [.] 0x000000006fb9c82c               [JIT] tid 45815                   -      -            
     0.12%  [.] 0x00000000011f5170               libmali.so.1.10.0                 -      -            
     0.11%  [.] 0x00000000012198e2               libmali.so.1.10.0                 -      -            
     0.11%  [.] 0x00000000745da108               [JIT] tid 45815                   -      -            
     0.11%  [.] 0x0000000001225206               libmali.so.1.10.0                 -      -            
     0.10%  [.] 0x000000006fcd517c               [JIT] tid 45815                   -      -            
     0.10%  [.] 0x00000000f73d1254               [JIT] tid 45815                   -      -            
     0.10%  [.] 0x0000000072951a20               [JIT] tid 45815                   -      -            
     0.10%  [.] 0x0000000072a1c000               [JIT] tid 45815                   -      -            
     0.10%  [.] 0x00000000001edefc               libmali.so.1.10.0                 -      -            
     0.10%  [.] 0x00000000f73f8840               [JIT] tid 45815                   -      -            
     0.10%  [.] 0x000000000009c530               libc.so.6                         -      -            
     0.10%  [.] 0x0000000074684d24               [JIT] tid 45815                   -      -            
     0.10%  [.] 0x000000000009bbd4               libc.so.6                         -      -            
     0.10%  [.] 0x00000000f739f3f0               [JIT] tid 45815                   -      -            
     0.10%  [.] 0x00000000f73d1274               [JIT] tid 45815                   -      -            
     0.09%  [.] arm_fist64_3                     box86                             -      -            
     0.09%  [.] 0x0000000072911c78               [JIT] tid 45815                   -      -            
     0.09%  [k] 0xffffffdafe9f3264               [unknown]                         -      -            
     0.09%  [.] 0x000000006e486dfc               [JIT] tid 45815                   -      -            
