t,cpu_cur_khz,cpu_max_khz,cpu_temp_mc,gpu_temp_mc,gpu_cur_hz,gpu_target_hz,fps,readback_ms,mgs2_sse_rg353v:55968,wined3d_cs:55905,mgs2_sse_rg353v:55878,wine_dmsynth_si:55961,wine_dsound_mix:55957,mgs2_sse_rg353v:53416,mgs2_sse_rg353v:55965,mali-cmar-backe:55896
1.0,1992000,1992000,81666,76250,400000000,400000000,,,0.6499,0.6599,0.21,0.25,0.08,0.06,0.06,0.03
2.012,1992000,1992000,82222,75625,300000000,300000000,,,0.6226,0.672,0.2075,0.2767,0.0791,0.0494,0.0692,0.0296
3.017,1992000,1992000,81111,75625,300000000,300000000,,,0.7168,0.6869,0.219,0.2489,0.0896,0.0597,0.0498,0.0398
4.02,1992000,1992000,81666,75625,800000000,800000000,,,0.5479,0.6674,0.1893,0.1793,0.0797,0.0598,0.0598,0.0299
5.026,1992000,1992000,81666,75625,400000000,400000000,,,0.6265,0.726,0.2188,0.1591,0.0895,0.0597,0.0597,0.0298
6.036,1992000,1992000,81111,76250,800000000,800000000,,,0.5839,0.6532,0.1781,0.1682,0.0693,0.0693,0.0495,0.0297
7.041,1992000,1992000,80555,75625,800000000,800000000,,,0.5475,0.5973,0.1792,0.209,0.0896,0.0398,0.0597,0.0398
8.047,1992000,1992000,81666,75625,800000000,800000000,,,0.5863,0.6459,0.1888,0.2285,0.0894,0.0596,0.0497,0.0199
9.055,1992000,1992000,81111,75625,300000000,300000000,,,0.6949,0.7049,0.1986,0.1986,0.0794,0.0596,0.0596,0.0298
10.059,1992000,1992000,81111,75625,800000000,800000000,,,0.5777,0.7072,0.2092,0.1893,0.0797,0.0498,0.0498,0.0398
11.064,1992000,1992000,81666,75625,800000000,800000000,,,0.6268,0.6865,0.2089,0.1791,0.0895,0.0696,0.0597,0.0298
12.075,1992000,1992000,81666,75625,800000000,800000000,,,0.6429,0.6627,0.1879,0.1583,0.0791,0.0593,0.0495,0.0297
13.083,1992000,1992000,81111,76250,400000000,400000000,,,0.6549,0.6847,0.2084,0.1885,0.0794,0.0595,0.0595,0.0298
14.092,1992000,1992000,81111,75625,800000000,800000000,,,0.6437,0.7032,0.2179,0.1684,0.0891,0.0495,0.0495,0.0396
15.098,1992000,1992000,81666,75625,300000000,300000000,,,0.6067,0.6763,0.1989,0.1293,0.0796,0.0597,0.0497,0.0298
16.109,1992000,1992000,81111,75625,400000000,400000000,,,0.5834,0.7119,0.1978,0.178,0.0989,0.0593,0.0593,0.0297
17.116,1992000,1992000,81666,75625,300000000,300000000,,,0.6357,0.7052,0.1987,0.1689,0.0894,0.0695,0.0497,0.0298
18.12,1992000,1992000,81666,75625,400000000,400000000,,,0.6073,0.6969,0.2091,0.1593,0.0796,0.0597,0.0697,0.0398
19.132,1992000,1992000,81666,76250,400000000,400000000,,,0.6427,0.6823,0.1879,0.178,0.0791,0.0593,0.0494,0.0297
